ean,title,brand,category,price,promo_price,available,seller_type
0622356294072,Machine à granité Slushi FS301EU NINJA,NINJA,Cuisine,299.99,199.99,True,carrefour
3016667201183,Machine à café Serenity EA4008E0 KRUPS,KRUPS,Cuisine,299.99,259.99,True,carrefour
3616958191263,Micro-ondes gril 20L SMG20L-24 SIMPL,SIMPL,Cuisine,54.99,49.99,True,carrefour
3700342400090,Cafetière Dolce Gusto Genio S YY5838FD Blanc KRUPS,KRUPS,Cuisine,99.99,59.99,True,carrefour
8004399027039,Machine à café avec broyeur Magnifica Evo ECAM290.51.B DELONGHI,DELONGHI,Cuisine,599.99,399.99,True,carrefour
8004399327924,Cafetière Nespresso Inissia EN 80.B Noir DELONGHI,DELONGHI,Cuisine,89.99,79.99,True,carrefour
3770039334090,Machine à glaçons Portable MIV-120MAG MIVANO,MIVANO,Cuisine,59.99,59.99,True,carrefour
3045387290573,Cafetière filtre Morning FG2M0810 Noir MOULINEX,MOULINEX,Cuisine,34.99,29.99,True,carrefour
3700342474237,Cafetière Dolce Gusto Genio S YY5215FD Blanc KRUPS,KRUPS,Cuisine,89.99,59.99,True,carrefour
3700342476637,Cafetière Dolce Gusto Genio S YY5346FD Blanc KRUPS,KRUPS,Cuisine,109.99,59.99,True,carrefour
8004399025370,Machine à café avec broyeur Magnifica Start ECAM 220.22.GB DELONGHI,DELONGHI,Cuisine,399.99,329.99,True,carrefour
8004399325326,Machine à café avec broyeur Magnifica S ECAM22.140.B DELONGHI,DELONGHI,Cuisine,399.99,299.99,True,carrefour
8710103894629,Machine à café avec broyeur EP1224/00 PHILIPS,PHILIPS,Cuisine,289.99,269.99,True,carrefour
0622356243391,Sorbetière  CREAMi NC300EU 473 ml 800 W Noir et Argent NINJA,NINJA,Cuisine,229.99,179.99,True,carrefour
3045387290450,Grille pain LS2M0810 MOULINEX,MOULINEX,Cuisine,34.99,29.99,True,carrefour
4242002770840,Hachoir à viande Pro Power argent BOSCH,BOSCH,Cuisine,129.99,109.99,True,carrefour
3700342415810,Cafetière Nespresso Inissia YY1530FD Blanc KRUPS,KRUPS,Cuisine,89.99,79.99,True,carrefour
3700342431308,Cafetière Dolce Gusto Mini Me YY3888FD Gris KRUPS,KRUPS,Cuisine,79.99,39.99,True,carrefour
