ean,title,brand,category,price,promo_price,available,seller_type,scraped_at,source_file
3267070041822,Pergola Bioclimatique Autoportante 3x3m à Lame Orientable Gris Anthracite Toscana,Non spécifié,Jardin,599.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
8711245162256,Salon de Jardin Bas résine gris 4 places - 5 piéces Atlas KETER,KETER,Jardin,129.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3616958731452,Salon de Jardin Bas en Bois Acacia 4 pièces Java HYBA,HYBA,Jardin,169.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3616181912734,Charbon de Bois 5kg Qualité Supérieure CARREFOUR,CARREFOUR,Jardin,9.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3617702258669,"Ensemble de jardin en bois d'Acacia 1 table, 6 chaises Halong HYBA",HYBA,Jardin,399.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
4260565522836,"Juskys Salon De Jardin Manacor 7 Places En Résine Tressée – Canapé, Table, Poufs & Coussins Gris",JUSKYS,Jardin,429.99,,True,marketplace,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
6973424414071,Vounot Ensemble Bistro Extérieur 1 Table 2 Chaises Acier Blanc,VOUNOT,Jardin,139.99,74.99,True,marketplace,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3560233007759,Lot De 2 Fauteuils De Jardin Oriengo Beige Argile Aluminium Mailles Tressées Et Polyester - Hespéride,HESPERIDE,Jardin,218.99,179.99,True,marketplace,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
6093875112606,"Salon de Jardin 4 Places – Canapé, Fauteuils, Table Basse, Coussins Déhoussables – Noir",KOMHTOM,Jardin,534.58,298.99,True,marketplace,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3617702216850,Barbecue à Charbon de Bois Tonneau Noir Memphis HYBA,HYBA,Jardin,79.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3292193455331,Barbecue à Charbon de Bois sur Chariot Manilla Pliable Rectangle,Non spécifié,Jardin,59.99,29.99,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3700242109949,Récupérateur d'eau de pluie 650L Vertical Mural Beige BELLI,BELLI,Jardin,149.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3560238908624,Rideaux Pour Tonnelle Palmeira 3x3m En Polyester Ardoise - Hespéride,HESPERIDE,Jardin,139.99,75.99,True,marketplace,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3760161078672,"Pergola Bioclimatique Autoportante 3,6x3m à Lames Orientables Gris Anthracite FORESTA",FORESTA,Jardin,1599.0,999.0,True,marketplace,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3616958820880,Tondeuse Thermique 42cm tractée moteur B&S 300 E GREENCUT,GREENCUT,Jardin,285.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
5411074243487,Robot Tondeuse 20V 900m² GREATLAND,GREATLAND,Jardin,299.99,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
4260727546526,"Débroussailleuse Thermique - Fuxtec Fx-ms125 - 25,4cm3 5,5kg 1cv",FUXTEC,Jardin,109.99,89.99,True,marketplace,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
5411074231736,Tondeuse À Gazon Électrique 1800w - 42cm - Elem Garden,Non spécifié,Jardin,165.38,119.0,True,marketplace,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
3616958731971,Fauteuil de jardin Empilable Aluminium Noir Gaya HYBA,HYBA,Jardin,39.0,,True,carrefour,2026-08-08T18:41:36.916609+00:00,carrefour_jardin.csv
