ean,title,brand,category,price,promo_price,available,seller_type,scraped_at,source_file
9782505141938,Kagurabachi - Tome 9,Non spécifié,Livres et Culture,7.3,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
9782822250344,Bleus - les années Deschamps - Faro,Non spécifié,Livres et Culture,16.95,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
9791032723777,Jujutsu Kaisen - Tome 30,Non spécifié,Livres et Culture,6.95,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
9782017312703,Coloriages Mystères - Bisounours - Colorie les chiffres et découvre l'image,Non spécifié,Livres et Culture,14.95,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
9782017378020,Coloriages Mystères - Vaiana - Colorie les chiffres et découvre l'image,Non spécifié,Livres et Culture,14.95,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
9782073134561,L'heure des prédateurs - Giuliano Da Empoli,Non spécifié,Livres et Culture,7.6,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
9791041427857,L'épreuve du feu - Donna Leon,Non spécifié,Livres et Culture,8.7,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
9791041428199,Vengeance Express - Riley Sager,Non spécifié,Livres et Culture,9.9,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
9782017335436,Legacy of Gods - Tome 6 - God of War - Rina Kent,Non spécifié,Livres et Culture,20.0,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
9782017375555,Swan - Tome 1 - Sarah Rivens,Non spécifié,Livres et Culture,20.0,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
9782226498755,Agatha Raisin enquête - Meurtre à l'heure du thé - Vous prendrez bien un scone ? - M.C Beaton,Non spécifié,Livres et Culture,14.9,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
9782246847564,La Légende - Boualem Sansal,Non spécifié,Livres et Culture,22.0,,True,carrefour,2026-08-09T13:30:33.607979+00:00,carrefour_livres.csv
