ean,title,brand,category,price,promo_price,available,seller_type,scraped_at,source_file
8806097330523,Smartphone Galaxy A26 5G Entreprise Edition 128 Go Noir SAMSUNG,SAMSUNG,Smartphones et Objets connectés,319.99,249.99,True,carrefour,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
8806097827436,Smartphone Galaxy S26 512Go NOIR SAMSUNG,SAMSUNG,Smartphones et Objets connectés,1199.0,,True,carrefour,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
8806099186630,Smartphone Galaxy Z Fold8 Ultra 256 Go - Graphite SAMSUNG,SAMSUNG,Smartphones et Objets connectés,2199.0,,True,carrefour,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
8806099348847,Smartphone Galaxy Z Fold8 256 Go - Graphite SAMSUNG,SAMSUNG,Smartphones et Objets connectés,1999.0,,True,carrefour,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
8806099025885,Samsung Galaxy A57 5g 8 Go/256 Go Bleu Clair (icyblue) Double Sim Sm-a576,SAMSUNG,Smartphones et Objets connectés,599.99,374.88,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
8806099025892,Samsung Galaxy A57 5g 8 Go/256 Go Lilas (lilac) Double Sim Sm-a576,SAMSUNG,Smartphones et Objets connectés,599.99,374.88,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0195950627893,iPhone 17 Pro 512 Go Orange Cosmique (MG8M4F/A) APPLE,APPLE,Smartphones et Objets connectés,1569.0,,True,carrefour,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0840353926905,"Smartphone Google Pixel 10 6,3 5g Double Sim 128 Go Noir Volcanique",GOOGLE,Smartphones et Objets connectés,599.0,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0001010030605,Coque En Silicone Samsung Galaxy S26 Noire,APOKIN,Smartphones et Objets connectés,23.0,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0012304318286,Transcend 8gb Microsdhc Class 10 Uhs-i (ultimate) 8 Go Mlc Classe 10,TRANSCEND,Smartphones et Objets connectés,51.73,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0017229160996,Poly Adattatore Da Usb-a A Usb-c,Non spécifié,Smartphones et Objets connectés,32.09,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942301868,Verbatim 30186 Caricabatterie Per Dispositivi Mobili Universale Nero Ac Ricarica Rapida Interno,VERBATIM,Smartphones et Objets connectés,59.99,56.77,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942318606,Verbatim Charge 'n' Drive Qi2 Rgb Smartphone Noir Usb Recharge Sans Fil Charge Rapide Auto,VERBATIM,Smartphones et Objets connectés,130.99,55.41,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942318613,Verbatim Charge 'n' Drive Qi2 Smartphone Noir Usb Recharge Sans Fil Charge Rapide Auto,VERBATIM,Smartphones et Objets connectés,46.88,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942318620,Verbatim Charge 'n' Drive Smartphone Noir Usb Recharge Sans Fil Charge Rapide Auto,VERBATIM,Smartphones et Objets connectés,37.52,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942321279,Chargeur De Voyage Verbatim Charge ´n´ Travel - 85w Gan Iii,VERBATIM,Smartphones et Objets connectés,120.99,52.95,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322016,Chargeur Universel Verbatim Gnc-65 65w Rapide,VERBATIM,Smartphones et Objets connectés,28.66,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322030,Verbatim Gnc-140 Caricabatterie Universale Nero Grigio Ac Ricarica Rapida Interno,VERBATIM,Smartphones et Objets connectés,66.04,64.12,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322054,Verbatim Gnc-240 Caricabatterie Universale Ac Ricarica Rapida Interno Nero Grigio,VERBATIM,Smartphones et Objets connectés,94.32,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322160,Verbatim Gan Charger 165w Universale Nero Ac Ricarica Rapida Interno,VERBATIM,Smartphones et Objets connectés,109.99,63.84,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322177,Chargeur Verbatim Gan Charger 65w Avec 2xusb-c Pd Et 1xusb-a,VERBATIM,Smartphones et Objets connectés,44.68,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322238,Câble Usb Verbatim Noir,VERBATIM,Smartphones et Objets connectés,50.7,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322245,Power Bank Verbatim Essential 20000mah Avec Charge Sans Fil,VERBATIM,Smartphones et Objets connectés,55.66,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322252,Verbatim Charge 'n' Go Essentials 5000 Mah Recharge Sans Fil Noir,VERBATIM,Smartphones et Objets connectés,32.15,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322269,Verbatim Charge 'n' Go Essentials 5000 Mah Recharge Sans Fil Vert,VERBATIM,Smartphones et Objets connectés,30.76,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322276,Verbatim Charge 'n' Go Essentials 10000 Mah Recharge Sans Fil Noir,VERBATIM,Smartphones et Objets connectés,38.65,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322283,Verbatim Charge 'n' Go Essentials 10000 Mah Recharge Sans Fil Vert,VERBATIM,Smartphones et Objets connectés,40.95,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322290,Verbatim Gan Charger 70w Universale Nero Ac Ricarica Rapida Interno,VERBATIM,Smartphones et Objets connectés,38.88,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322405,Verbatim Charge 'n' Go Lithium Polymère (lipo) 5000 Mah Recharge Sans Fil Noir,VERBATIM,Smartphones et Objets connectés,35.75,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322412,Verbatim Charge 'n' Go Lithium Polymère (lipo) 5000 Mah Recharge Sans Fil Vert,VERBATIM,Smartphones et Objets connectés,32.85,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322429,Verbatim Charge 'n' Go Lithium Polymère (lipo) 5000 Mah Recharge Sans Fil Bleu,VERBATIM,Smartphones et Objets connectés,35.85,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942322436,Verbatim Charge 'n' Go Lithium Polymère (lipo) 5000 Mah Recharge Sans Fil Rose,VERBATIM,Smartphones et Objets connectés,34.75,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
