ean,title,brand,category,price,promo_price,available,seller_type
8720689035255,Tondeuse multifonctions Oneblade QP6542/19 PHILIPS,PHILIPS,Beauté et Santé,64.99,51.99,True,carrefour
8720689020473,Tondeuse multifonctions Oneblade MG7940/75 PHILIPS,PHILIPS,Beauté et Santé,69.99,55.99,True,carrefour
8720689031561,Epilateur électrique serie 2000 BRE227/00 PHILIPS,PHILIPS,Beauté et Santé,32.99,26.39,True,carrefour
0622356352840,Multistyler Flexstyle 6-en-1 - HD476WHEU - Bleu,,Beauté et Santé,329.99,,True,carrefour
0622356354325,Brosse soufflante Glossi 2 en 1 Rose poudré - HT302EUPK SHARK,SHARK,Beauté et Santé,179.99,,True,carrefour
0622356396233,Appareil de massage Par Thermothérapie - DEPUFFI - FH220EUBK SHARK,SHARK,Beauté et Santé,199.99,,True,carrefour
3770039334113,Rasoir tête sans fil 5 en 1 - NG-7983 WMARK,WMARK,Beauté et Santé,49.99,,True,carrefour
4897122207297,Masseur oculaire Eyeris 3 Noir RENPHO,RENPHO,Beauté et Santé,89.99,,True,carrefour
3030050187953,Lisseur vapeur ST494SE BABYLISS,BABYLISS,Beauté et Santé,89.99,49.99,True,carrefour
3094570131865,Pèse personne TP1000  TERRAILLON,TERRAILLON,Beauté et Santé,19.99,9.99,True,carrefour
3614613101633,Tondeuse bikini - NRBK10-17 NALK AND REY,NALK AND REY,Beauté et Santé,15.99,12.79,True,carrefour
3615004371901,Tondeuse barbe NRBT900-18 NALK AND REY,NALK AND REY,Beauté et Santé,29.99,23.99,True,carrefour
5038061107500,Lisseur Aqualisse Extrême - S7307 REMINGTON,REMINGTON,Beauté et Santé,29.99,20.99,True,carrefour
5038061138542,Tondeuse HC500 - Blanc/Noir/Rouge REMINGTON,REMINGTON,Beauté et Santé,39.99,27.99,True,carrefour
5038061139082,Tondeuse cheveux HC5020 REMINGTON,REMINGTON,Beauté et Santé,14.99,10.49,True,carrefour
8710103935544,Epilateur BRE740/10 PHILIPS,PHILIPS,Beauté et Santé,139.99,111.99,True,carrefour
8720689007788,Rasoir électrique homme S5880/50 PHILIPS,PHILIPS,Beauté et Santé,134.99,107.99,True,carrefour
8720689018821,Rasoir électrique homme barbe S1142/00 PHILIPS,PHILIPS,Beauté et Santé,37.99,30.39,True,carrefour
8720689019019,Rasoir électrique homme X3051/00 PHILIPS,PHILIPS,Beauté et Santé,59.99,47.99,True,carrefour
8720689025416,BROSSE A DENTS SONICARE HX7103/01 Brosse à Dents PHILIPS,PHILIPS,Beauté et Santé,69.99,55.99,True,carrefour
3616474008243,Impédancemètre  connecté NRBFC-21 NALK AND REY,NALK AND REY,Beauté et Santé,19.99,15.99,True,carrefour
8006540730935,Brosse à dents électrique iO3 Bleu glacial ORAL-B,ORAL-B,Beauté et Santé,89.99,49.49,True,carrefour
8710103701583,Tondeuse multifonctions MG1100/16 PHILIPS,PHILIPS,Beauté et Santé,19.99,15.99,True,carrefour
8710103786313,Tondeuse multifonctions MG3740/15 PHILIPS,PHILIPS,Beauté et Santé,49.99,39.99,True,carrefour
8720689007863,Rasoir électrique homme S5887/10 PHILIPS,PHILIPS,Beauté et Santé,99.99,79.99,True,carrefour
3030050153231,Tondeuse cheveux E976E BABYLISS,BABYLISS,Beauté et Santé,39.99,31.99,True,carrefour
8710103897842,Tondeuse cheveux HC5630/15 PHILIPS,PHILIPS,Beauté et Santé,44.99,35.99,True,carrefour
8710103904014,Lisseur HP8321/40 PHILIPS,PHILIPS,Beauté et Santé,29.99,23.99,True,carrefour
0043917000336,Tondeuse cheveux Home Pro 9243-2616 WAHL,WAHL,Beauté et Santé,24.99,19.99,True,carrefour
0043917006109,Tondeuse barbe Deluxe Travel Kit WAHL,WAHL,Beauté et Santé,24.99,19.99,True,carrefour
0043917039305,Tondeuse Self clip 360 WAHL,WAHL,Beauté et Santé,59.99,47.99,True,carrefour
0043917039312,Tondeuse Elite Groom WAHL,WAHL,Beauté et Santé,74.99,59.99,True,carrefour
0043917047997,Tondeuse Multifonction All-In-One 0096-5015 WAHL,WAHL,Beauté et Santé,29.99,23.99,True,carrefour
0043917997056,Tondeuse cheveux Color Pro Cordless 9649-016 WAHL,WAHL,Beauté et Santé,29.99,23.99,True,carrefour
3030050067705,Tondeuse cheveux filaire E695E BABYLISS,BABYLISS,Beauté et Santé,16.99,13.59,True,carrefour
3030050145878,Tondeuse barbe Triple S BABYLISS,BABYLISS,Beauté et Santé,59.99,47.99,True,carrefour
3030050153118,Tondeuse multifonctions MT725E BABYLISS,BABYLISS,Beauté et Santé,26.99,21.59,True,carrefour
3030050153125,Tondeuse multifonctions MT726E BABYLISS,BABYLISS,Beauté et Santé,23.99,19.19,True,carrefour
3030050153200,Tondeuse cheveux E756E BABYLISS,BABYLISS,Beauté et Santé,19.99,15.99,True,carrefour
3030050157734,Tondeuse multifonctions MT728E BABYLISS,BABYLISS,Beauté et Santé,44.99,35.99,True,carrefour
3030050158069,Tondeuse multifonctions MT861E BABYLISS,BABYLISS,Beauté et Santé,34.99,27.99,True,carrefour
3030050162295,Tondeuse cheveux 7756PE BABYLISS,BABYLISS,Beauté et Santé,29.99,23.99,True,carrefour
3030050165388,Tondeuse multifonctions MT996E BABYLISS,BABYLISS,Beauté et Santé,94.99,75.99,True,carrefour
3030050188028,Tondeuse barbe T996E BABYLISS,BABYLISS,Beauté et Santé,99.99,79.99,True,carrefour
3030050188059,"Tondeuse nez, oreilles et sourcils Super-X Metal - E116E BABYLISS",BABYLISS,Beauté et Santé,36.99,29.59,True,carrefour
3030050193046,Tondeuse barbe T812E BABYLISS,BABYLISS,Beauté et Santé,49.99,39.99,True,carrefour
3030050193053,Tondeuse multifonctions MT812E BABYLISS,BABYLISS,Beauté et Santé,69.99,55.99,True,carrefour
3030050194142,Tondeuse cheveux E812E BABYLISS,BABYLISS,Beauté et Santé,69.99,55.99,True,carrefour
3030050195521,Tondeuse barbe X-Blade OT996E BABYLISS,BABYLISS,Beauté et Santé,79.99,63.99,True,carrefour
3094570155212,Pèse personne connecté - body color connect,,Beauté et Santé,59.99,39.99,True,carrefour
3094570156226,Pèse Personne Electronique - 15622 TERRAILLON,TERRAILLON,Beauté et Santé,29.99,14.99,True,carrefour
3094570156233,Pèse Personne Electronique - 15623 TERRAILLON,TERRAILLON,Beauté et Santé,29.99,14.99,True,carrefour
3094570156240,Pèse Personne Electronique - 15624 TERRAILLON,TERRAILLON,Beauté et Santé,29.99,14.99,True,carrefour
3614613101664,Coffret manucure-pédicure NALK & REY,NALK & REY,Beauté et Santé,17.99,14.39,True,carrefour
3615004369298,Tondeuse cheveux NRHC980-18 NALK AND REY,NALK AND REY,Beauté et Santé,9.99,7.99,True,carrefour
3615004373561,Tondeuse cheveux prostyle30-nrhc30-18 NALK AND REY,NALK AND REY,Beauté et Santé,29.99,23.99,True,carrefour
3616181130800,Rasoir électrique homme NRDFS10-20 NALK AND REY,NALK AND REY,Beauté et Santé,19.99,15.99,True,carrefour
3616181348724,Rasoir électrique homme NRMS40-20 NALK AND REY,NALK AND REY,Beauté et Santé,32.99,26.39,True,carrefour
3616953354175,Pèse-personne Mécanique NRBS240-23 NALK AND REY,NALK AND REY,Beauté et Santé,8.99,7.19,True,carrefour
3616953408335,Brosse chauffante Keraliss 3D NALK AND REY,NALK AND REY,Beauté et Santé,14.99,11.99,True,carrefour
3616958232331,Tondeuse barbe Deluxe Travel Kit WAHL,WAHL,Beauté et Santé,12.99,10.39,True,carrefour
3616958506623,Tondeuse nez/oreilles NALK AND REY,NALK AND REY,Beauté et Santé,4.99,3.99,True,carrefour
3616958506630,Rasoir à têtes rotatives rechargeable NALK AND REY,NALK AND REY,Beauté et Santé,14.99,11.99,True,carrefour
3616958506647,Tondeuse multifonctions NRMG25-24 NALK AND REY,NALK AND REY,Beauté et Santé,14.99,11.99,True,carrefour
3616958792910,Tondeuse cheveux NRHC15-25 NALK AND REY,NALK AND REY,Beauté et Santé,19.99,15.99,True,carrefour
3616959414088,Brosse soufflante A air chaud - NRHMS99-25 NALK AND REY,NALK AND REY,Beauté et Santé,14.99,11.99,True,carrefour
3617702035970,Sèche cheveux NRBLHD1600-25 NALK AND REY,NALK AND REY,Beauté et Santé,49.99,39.99,True,carrefour
3617702036335,Brosse soufflante NRHAS1200-25 NALK AND REY,NALK AND REY,Beauté et Santé,24.99,19.99,True,carrefour
3617702094564,Sèche cheveux Voyage NRHDT1600-25 NALK AND REY,NALK AND REY,Beauté et Santé,9.99,7.99,True,carrefour
3617702094571,Sèche cheveux NRHD2000-25 NALK AND REY,NALK AND REY,Beauté et Santé,12.99,10.39,True,carrefour
3617702094588,Lisseur NRHS715-25 NALK AND REY,NALK AND REY,Beauté et Santé,9.99,7.99,True,carrefour
3617702094595,Lisseur NRHS51-25 NALK AND REY,NALK AND REY,Beauté et Santé,19.99,15.99,True,carrefour
3617702094618,Boucleur NRCI19-25 NALK AND REY,NALK AND REY,Beauté et Santé,9.99,7.99,True,carrefour
3617702094762,Sèche cheveux NRHD20AC-25 NALK AND REY,NALK AND REY,Beauté et Santé,19.99,15.99,True,carrefour
3617702094779,Sèche cheveux NRHD2400-25 NALK AND REY,NALK AND REY,Beauté et Santé,16.99,13.59,True,carrefour
3617702351872,Lisseur soufflant NRBLHS500-26 NALK AND REY,NALK AND REY,Beauté et Santé,49.99,39.99,True,carrefour
3666085213277,Brosse chauffante Airflow Styler multifonction Collection Barbie DEMELISS,DEMELISS,Beauté et Santé,119.99,89.99,True,carrefour
3666085213536,Brosse soufflante Aerotwist JEAN LOUIS DAVID,JEAN LOUIS DAVID,Beauté et Santé,99.99,69.99,True,carrefour
3666085213727,Lisseur 2 en 1 : Lisse et boucle collection Barbie DEMELISS,DEMELISS,Beauté et Santé,34.99,19.99,True,carrefour
3666085213734,Sèche cheveux Collection Barbie DEMELISS,DEMELISS,Beauté et Santé,29.99,19.99,True,carrefour
3666085213758,Brosse soufflante 2 en 1 : Sèche et coiffe collection Barbie DEMELISS,DEMELISS,Beauté et Santé,59.99,34.99,True,carrefour
3700902209828,Sèche cheveux MDHAIRF1BLC MEDEK,MEDEK,Beauté et Santé,49.99,34.99,True,carrefour
3700902209835,Brosse soufflante MDZY9 MEDEK,MEDEK,Beauté et Santé,79.99,39.99,True,carrefour
3700902209842,Sèche cheveux MDHAIRF1NR MEDEK,MEDEK,Beauté et Santé,49.99,34.99,True,carrefour
4008496651351,Tondeuse nez/oreilles REMINGTON,REMINGTON,Beauté et Santé,14.99,10.49,True,carrefour
4015110007517,Tondeuse multifonctions 9855-1216 WAHL,WAHL,Beauté et Santé,19.99,15.99,True,carrefour
5038061100877,Tondeuse multifonctions PG4000 REMINGTON,REMINGTON,Beauté et Santé,49.99,34.99,True,carrefour
