ean,title,brand,category,price,promo_price,available,seller_type
8700216610834,Brosse à Dents Electrique iO2 Noir ORAL-B,ORAL-B,Beauté et Santé,74.9,44.94,True,carrefour
8700216612210,Brosse à Dents Electrique iO2 Rose ORAL-B,ORAL-B,Beauté et Santé,74.9,44.94,True,carrefour
3030050197372,Boucleur automatique Style Secret Air - C6688E BABYLISS,BABYLISS,Beauté et Santé,119.99,,True,carrefour
0622356324922,Masque LED Cryoglow FW312PLEU SHARK,SHARK,Beauté et Santé,349.99,,True,carrefour
0622356352840,Multistyler Flexstyle 6-en-1 - HD476WHEU - Bleu,,Beauté et Santé,329.99,,True,carrefour
0622356396233,Appareil de massage Par Thermothérapie - DEPUFFI - FH220EUBK SHARK,SHARK,Beauté et Santé,199.99,,True,carrefour
3770039334113,Rasoir tête sans fil 5 en 1 - NG-7983 WMARK,WMARK,Beauté et Santé,49.99,,True,carrefour
4897122207297,Masseur oculaire Eyeris 3 Noir RENPHO,RENPHO,Beauté et Santé,89.99,,True,carrefour
4897122209352,Masseur Oculaire Eyeris 3 Rose Gold RENPHO,RENPHO,Beauté et Santé,89.99,,True,carrefour
3614613101633,Tondeuse bikini - NRBK10-17 NALK AND REY,NALK AND REY,Beauté et Santé,15.99,12.79,True,carrefour
3615004371901,Tondeuse barbe NRBT900-18 NALK AND REY,NALK AND REY,Beauté et Santé,29.99,23.99,True,carrefour
3616474008243,Impédancemètre  connecté NRBFC-21 NALK AND REY,NALK AND REY,Beauté et Santé,19.99,15.99,True,carrefour
8006540730935,Brosse à dents électrique iO3 Bleu glacial ORAL-B,ORAL-B,Beauté et Santé,89.99,49.49,True,carrefour
3030050197310,Lisseur Stardust Shimmer ST914PE BABYLISS,BABYLISS,Beauté et Santé,99.99,49.99,True,carrefour
3094570156226,Pèse Personne Electronique - 15622 TERRAILLON,TERRAILLON,Beauté et Santé,29.99,14.99,True,carrefour
3094570156233,Pèse Personne Electronique - 15623 TERRAILLON,TERRAILLON,Beauté et Santé,29.99,14.99,True,carrefour
3094570156240,Pèse Personne Electronique - 15624 TERRAILLON,TERRAILLON,Beauté et Santé,29.99,14.99,True,carrefour
3614613101664,Coffret manucure-pédicure NALK & REY,NALK & REY,Beauté et Santé,17.99,14.39,True,carrefour
3615004369298,Tondeuse cheveux NRHC980-18 NALK AND REY,NALK AND REY,Beauté et Santé,9.99,7.99,True,carrefour
3615004373561,Tondeuse cheveux prostyle30-nrhc30-18 NALK AND REY,NALK AND REY,Beauté et Santé,29.99,23.99,True,carrefour
3616181130800,Rasoir électrique homme NRDFS10-20 NALK AND REY,NALK AND REY,Beauté et Santé,19.99,15.99,True,carrefour
3616953354175,Pèse-personne Mécanique NRBS240-23 NALK AND REY,NALK AND REY,Beauté et Santé,8.99,7.19,True,carrefour
3616953408335,Brosse chauffante Keraliss 3D NALK AND REY,NALK AND REY,Beauté et Santé,14.99,11.99,True,carrefour
3616958232331,Tondeuse barbe Deluxe Travel Kit WAHL,WAHL,Beauté et Santé,12.99,10.39,True,carrefour
3616958506623,Tondeuse nez/oreilles NALK AND REY,NALK AND REY,Beauté et Santé,4.99,3.99,True,carrefour
3616958506630,Rasoir à têtes rotatives rechargeable NALK AND REY,NALK AND REY,Beauté et Santé,14.99,11.99,True,carrefour
3616958506647,Tondeuse multifonctions NRMG25-24 NALK AND REY,NALK AND REY,Beauté et Santé,14.99,11.99,True,carrefour
3616958792910,Tondeuse cheveux NRHC15-25 NALK AND REY,NALK AND REY,Beauté et Santé,19.99,15.99,True,carrefour
3616959414088,Brosse soufflante A air chaud - NRHMS99-25 NALK AND REY,NALK AND REY,Beauté et Santé,14.99,11.99,True,carrefour
3617702035970,Sèche cheveux NRBLHD1600-25 NALK AND REY,NALK AND REY,Beauté et Santé,49.99,39.99,True,carrefour
3617702036335,Brosse soufflante NRHAS1200-25 NALK AND REY,NALK AND REY,Beauté et Santé,24.99,19.99,True,carrefour
3617702094564,Sèche cheveux Voyage NRHDT1600-25 NALK AND REY,NALK AND REY,Beauté et Santé,9.99,7.99,True,carrefour
3617702094571,Sèche cheveux NRHD2000-25 NALK AND REY,NALK AND REY,Beauté et Santé,12.99,10.39,True,carrefour
3617702094588,Lisseur NRHS715-25 NALK AND REY,NALK AND REY,Beauté et Santé,9.99,7.99,True,carrefour
3617702094595,Lisseur NRHS51-25 NALK AND REY,NALK AND REY,Beauté et Santé,19.99,15.99,True,carrefour
3617702094618,Boucleur NRCI19-25 NALK AND REY,NALK AND REY,Beauté et Santé,9.99,7.99,True,carrefour
3617702094762,Sèche cheveux NRHD20AC-25 NALK AND REY,NALK AND REY,Beauté et Santé,19.99,15.99,True,carrefour
3617702094779,Sèche cheveux NRHD2400-25 NALK AND REY,NALK AND REY,Beauté et Santé,16.99,13.59,True,carrefour
